Name,CID,CSID,smiles,melt_point_C
"D(+)-Glucose
",107526,,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,146
"alpha-D-Glucose
",79025,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,133
"D-Glucose
",5793,,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,133
"D-Glucosamine
",439213,,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O,88
"Hexose
",206,,C(C1C(C(C(C(O1)O)O)O)O)O,133
"N-Acetyl-D-Glucosamine
",439174,,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O,210
"L-Glucose
",24749,,C(C(C(C(C(C=O)O)O)O)O)O,146
"beta-Lactose
",6134,,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,212
"beta-D-Glucose pentaacetate
",2724702,,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,132
"alpha-D-Glucopyranose, pentaacetate
",79064,,CC(=O)OCC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,124
"beta-D-Glucose
",64689,,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,148
"Levoglucosan
",2724705,,C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O,183
"D-(+)-Maltose
",439186,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,102
"Deoxyglucose
",108223,,C(C=O)[C@H]([C@@H]([C@@H](CO)O)O)O,147
"D-(+)-Cellobiose
",10712,,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,235
