,Name,CID,Melting Point
0,NITROGLYCERIN,[4510],"Crystalizes in 2 forms: labile form, 2.8 °C; stable form, 13.5 °C"
1,MERCURIC CHLORIDE,[24085],277 °C
2,"IODINE, ELEMENTAL",[807],113.7 °C
3,BENZENE,[241],5.558 °C
4,CAFFEINE,[2519],236.2 °C
5,CAMPHOR,[2537],174-179 °C
6,CETYLPYRIDINIUM CHLORIDE,[31239],80 °C
7,EPICHLOROHYDRIN,[7835],-25.6 °C
8,ACETIC ACID,[176],16.635 °C
9,ACETONE,[180],-94.9 °C
10,ACETONITRILE,[6342],-44 °C
11,Aniline,[6115],-6.0 °C
12,ANISOLE,[7519],-37.3 °C
13,BENZONITRILE,[7505],-12.82 °C
14,BENZYL ALCOHOL,[244],-15.2 °C
15,BROMOBENZENE,[7961],-30.6 °C (SOLIDIFIES)
16,N-BUTYL ALCOHOL,[263],-88.6 °C
17,ISOBUTYL ALCOHOL,[6560],-108 °C
18,T-BUTYL ALCOHOL,[6386],25.81 °C
19,DIETHYLENE GLYCOL MONOETHYL ETHER,[8146],Freezing point = -54.0 °C
20,Carbon disulfide,[6348],-111.7 °C
21,Carbon tetrachloride,[5943],-22.2 °C
22,ETHYLENE GLYCOL MONOETHYL ETHER,[8076],-70 °C
23,CHLOROBENZENE,[7964],-45.2 °C
24,Chloroform,[6212],-63.47 °C
25,"2,4,6-COLLIDINE",[7953],-44.5 °C
26,CYCLOBUTANE,[9250],-80 °C
27,CYCLOHEPTANE,[9265],-8.0 °C
28,CYCLOHEXANE,[8078],6.47 °C
29,Cyclohexanol,[7966],25.93 °C
30,CYCLOPENTANE,[9253],-93.4 °C
31,n-Decane,[15600],-29.7 °C
32,"1,1-Dichloroethane",[6365],-96.93 °C
33,"1,2-Dichloroethane",[11],-35.6 °C
34,DICHLOROMETHANE,[6344],-95 °C
35,DIETHYLENE GLYCOL DIETHYL ETHER,[8179],-45 °C
36,DIETHYLENE GLYCOL,[8117],-10.4 °C
37,DIETHYL ETHER,[3283],-116.3 °C (stable crystals); -123.3 °C (metastable crystals)
38,ETHYLENE GLYCOL DIETHYL ETHER,[12375],-74 °C
39,DIETHYLENE GLYCOL DIMETHYL ETHER,[8150],-68 °C
40,"1,2-DIMETHOXYETHANE",[8071],-58 °C; ALSO REPORTED AS -71 °C
41,"N,N-DIMETHYLACETAMIDE",[31374],-18.59 °C
42,"2,2-DIMETHYLBUTANE",[6403],-99.9 °C
43,"2,3-DIMETHYLBUTANE",[6589],-128.8 °C
44,"N,N-DIMETHYLFORMAMIDE",[6228],-60.3 °C
45,"2,6-LUTIDINE",[7937],-5.8 °C
46,DIMETHYL SULFOXIDE,[679],18.45 °C
47,"1,4-DIOXANE",[31275],11.75 °C
48,Ethanol,[702],-114.14 °C
49,ETHYL ACETATE,[8857],-83.8 °C
50,ETHYLBENZENE,[7500],-94.95 °C
51,FORMAMIDE,[713],2.55 °C
52,Furan,[8029],-85.61 °C
53,n-Heptane,[8900],-90.549 °C
54,N-HEXANE,[8058],-95.35 °C
55,"1,3,5-TRIMETHYLBENZENE",[7947],-44.8 °C
56,Methanol,[887],-97.8 °C
57,N-METHYLACETAMIDE,[6582],28 °C
58,METHYL ACETATE,[6584],-98.2 °C
59,DIETHYLENE GLYCOL MONOMETHYL ETHER,[8134],Less than -84 °C
60,2-METHOXYETHANOL,[8019],-85.1 °C
61,METHYLCYCLOHEXANE,[7962],-126.6 °C
62,METHYL ETHYL KETONE,[6569],-86.67 °C
63,N-METHYLFORMAMIDE,[31254],-5.4 °C
64,2-METHYLPYRIDINE,[7975],-66.65 °C
65,Morpholine,[8083],-4.8 °C
66,NEOPENTYL ALCOHOL,[6404],53 °C
67,NITROBENZENE,[7416],5.7 °C
68,NITROETHANE,[6587],-89.42 °C
69,NITROMETHANE,[6375],-28.7 °C
70,N-NONANE,[8141],-53.47 °C
71,N-OCTANE,[356],-56.73 °C
72,n-Pentane,[8003],-129.67 °C
73,"2,2-DIMETHYLPROPANE",[10041],-16.37 °C
74,N-PENTYL ALCOHOL,[6276],-79 °C
75,PHENETOLE,[7674],-30.0 °C
76,PHENOL,[996],40.91 °C
77,PIPERIDINE,[8082],-7 °C
78,N-PROPANOL,[1031],-127 °C
79,ISOPROPANOL,[3776],-87.9 °C
80,PROPIONITRILE,[7854],-91.8 °C
81,PYRIDINE,[1049],-41.6 °C
82,PYRROLE,[8027],-23.4 °C
83,PYRROLIDINE,[31268],-57.79 °C
84,QUINOLINE,[7047],-14.78 °C
85,SULFOLANE,[31347],27.4-27.8 °C
86,"1,1,2,2-TETRACHLOROETHANE",[6591],-42.3 °C
87,Tetrachloroethylene,[31373],-22.2 °C
88,Tetrahydrofuran,[8028],-108.44 °C
89,TETRAHYDROPYRAN,[8894],-49.2 °C
90,TETRALIN,[8404],-35.8 °C
91,TETRAMETHYLUREA,[12437],-1.2 °C
92,THIOPHENE,[8030],-39.4 °C
93,TOLUENE,[1140],-94.9 °C
94,"1,3,5-TRICHLOROBENZENE",[7950],62.8 °C
95,Trichloroethylene,[6575],-84.7 °C
96,2-XYLENE,[7237],-25.16 °C
97,3-XYLENE,[7929],-47.85 °C
98,4-XYLENE,[7809],13.3 °C
99,DOWTHERM A,[24670],12.2 °C
100,TRICHLOROFLUOROMETHANE,[6389],-110.44 °C
101,DICHLORODIFLUOROMETHANE,[6391],-157.1 °C
102,CHLOROTRIFLUOROMETHANE,[6392],-181 °C
103,BROMOTRIFLUOROMETHANE,[6384],-172 °C
104,DICHLOROFLUOROMETHANE,[6370],-130.4 °C
105,CHLORODIFLUOROMETHANE,[6372],-157.42 °C
106,"1,1,2,2-TETRACHLORO-1,2-DIFLUOROETHANE",[6427],26 °C
107,"1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE",[6428],-36.22 °C
108,"1,2-DICHLORO-1,1,2,2-TETRAFLUOROETHANE",[6429],-92.53 °C
109,CHLOROPENTAFLUOROETHANE,[6430],-99.4 °C
110,Methyl isobutyl ketone,[7909],-85 °C
111,"1,2-Dichloroethylene",[10900],-57 °C
112,n-Butyl acetate,[31272],-77 °C
113,"1,3-BUTANEDIOL",[7896],< -50 °C
114,METHYL CELLOSOLVE ACETATE,[8054],-65.1 °C
115,"1,1,1-TRICHLOROETHANE",[6278],-30 °C
116,2-PENTANONE,[7895],-76.8 °C
117,ISOPROPYL ACETATE,[7915],-73.4 °C
118,N-PROPYL ACETATE,[7997],-93 °C
119,Ammonia,[222],-77.7 °C
120,UREA,[1176],132.70 °C
121,FORMALDEHYDE,[712],-92 °C
122,Hydrogen cyanide,[768],-13.28 °C
123,ACETYLENE,[6326],-80.7 °C (triple point)
124,METHANE,[297],-182.566 °C
125,Ethylene,[6325],-169.18 °C
126,Vinyl chloride,[6338],-153.84 °C
127,ETHYLENE OXIDE,[6354],-111.7 °C
128,Styrene,[7501],-30.65 °C
129,Isopropylbenzene,[7406],-96.0 °C
130,"1,2-PROPYLENE OXIDE",[6378],-112.13 °C
131,Propylene glycol,[1030],-60 °C
132,Propylene,[8252],-185.30 °C
133,Acrylonitrile,[7855],-83.51 °C
134,ACROLEIN,[7847],-87.8 °C
135,ALLYL CHLORIDE,[7850],-134.5 °C
136,1-Butene,[7844],-185.33 °C
137,2-Butene,"[12220, 62695]",-139.3 °C /cis-2-Butene/
138,"1,3-BUTADIENE",[7845],-108.966 °C
139,METHACROLEIN,[6562],-81 °C
140,MALEIC ANHYDRIDE,[7923],52.56 °C
141,NAPHTHALENE,[931],80.2 °C
142,CYCLOHEXANONE,[7967],-31 °C
143,CAPROLACTAM,[7768],69.3 °C
144,ADIPIC ACID,[196],151.5 °C
145,HEXAMETHYLENE DIAMINE,[16402],42 °C
146,VINYL ACETATE,[7904],-93.2 °C
147,ACRYLAMIDE,[6579],84.5 °C
148,Allyl alcohol,[7858],-129 °C
149,Ethyl acrylate,[8821],-71.2 °C
150,Methyl acrylate,[7294],-75.6 °C
151,Methyl methacrylate,[6658],-47.55 °C
152,ALPHA-METHYL STYRENE,[7407],-23.2 °C
153,PARATHION,[991],6.1 °C
154,ENDRIN,"[3048, 12358480, 12358497, 46174049, 71312306, 101260859, 134687884]",Approximately 200 °C (rearranges above that point)
155,ALDRIN,"[2087, 61103, 222548, 12310947, 24860538, 92535137, 101611446, 118701038]",104 °C
156,DDT,[3036],108.5 °C
157,"2,4-D",[1486],138 °C
158,PROPYLPARABEN,[7175],96.1 °C
159,POLYVINYLPYRROLIDONE,[6917],13.9 °C
160,CHLORINE,[24526],-101.5 °C
161,AMMONIUM BROMIDE,[25514],542 °C (decomposes)
162,Benzyl benzoate,[2345],19 °C
163,CINNAMALDEHYDE,[637511],-7.5 °C
164,EUGENOL,[3314],-9.2 to -9.1 °C
165,MAGNESIUM CARBONATE,[11029],990 °C
166,ZINC STEARATE,[11178],130 °C
167,RESERPINE,[5770],264.5 °C
168,Digoxin,[2724385],249 °C (decomposes)
169,Digitoxin,[441207],255.5 °C
170,Vitamin B1,"[1130, 6042, 6202, 574516, 46856306]",164 °C
171,CHLORAL HYDRATE,[2707],57 °C
172,SULFANILAMIDE,[5333],165.5 °C
173,HEXACHLOROPHENE,[3598],165.5 °C
174,QUINIDINE,"[1065, 5953, 94175, 441074, 637552, 667449, 3032576, 3036746, 5317112, 5484444, 6604605, 10448938, 24096961, 68638786]",174-175 °C after drying of solvated crystals
175,SALICYLAMIDE,[5147],140 °C
176,Sulfur dioxide,[1119],-75.5 °C
177,SODIUM HYDROXIDE,[14798],323 °C
178,ACETALDEHYDE,[177],-123.4 °C
179,"Lead, elemental",[5352425],327.4 °C
180,METHYL FORMATE,[7865],-99.8 °C
181,Acetic anhydride,[7918],-73.4 °C
182,Cobaltous citrate,[13343],"Rose-red, amorphous powder; melting point 150 °C (loses 2H2O); slightly soluble in water; soluble in dilute acids /Cobalt(II) citrate dihydrate/"
183,Cobaltous fluoride,[24820],1127 °C
184,Cobaltous nitrate,[25000],Decomposes at 100-105 °C
185,Cobaltous oxide,[14786],About 1935 °C
186,Cobaltous sulfate,[24965],735 °C
187,CALCIUM CYANIDE,[11590],Decomposes at >350 °C
188,CALCIUM CHROMATE,[26264],1000 °C (decomposes)
189,COUMAPHOS,[2871],95.2 °C
190,Crotonaldehyde,[447466],-69 °C
191,CALCIUM CHLORATE,[24978],340 °C
192,CUPRIC ACETYLACETONATE,"[25949, 5749883, 6284171, 6433572, 11149677, 44135491, 49868025, 53384494, 101642132, 134688993]",284 C degrees (decomposes)
193,COPPER(II) BROMIDE,[24611],498 °C
194,COPPER(II) CHLORIDE,[24014],630 °C (extrapolated)
195,CUPRIC FORMATE,"[10999, 5080335, 19827577]",ca 200 °C (decomp)
196,CUPRIC GLUCONATE,[10692],155-157 °C /D-form/
197,COPPER(II) HYDROXIDE,[30154],"Decomposes at melting point, with loss of water."
198,COPPER(II) NITRATE,[18616],255-256 °C
199,COPPER(II) OXIDE,[14829],1326 °C
200,COPPER(I) BROMIDE,[24593],504 °C
201,COPPER(I) IODIDE,[24350],606 °C
202,CYANOACETIC ACID,[9740],66 °C
203,"CALCIUM, ELEMENTAL",[5460341],842 °C
204,CADMIUM SULFATE,[24962],1000 °C
205,CYCLAMATE,[7533],169.5 °C
206,CADMIUM NITRATE,[25154],360 °C
207,CADMIUM CHLORIDE,[24947],568 °C
208,CADMIUM BROMIDE,[9816930],568 °C
209,CADMIUM ACETATE,[10986],255 °C
210,CYCLOHEXANONE PEROXIDE,[6521],76-77 °C
211,"CADMIUM, ELEMENTAL",[23973],32.0691 °C
212,BUTYL GLYCOLYL BUTYL PHTHALATE,[6819],BELOW -35 °C
213,DDD,[6294],109-110 °C
214,BUTYLPARABEN,[7184],68.5 °C
215,DECAHYDRONAPHTHALENE,[7044],-43 °C
216,DECALDEHYDE,[8175],-3.9 °C
217,n-Butyl methacrylate,[7354],freezing point: less than -75 °C
218,1-BUTYL MERCAPTAN,[8012],-115.9 °C
219,DEHYDROACETIC ACID,[122903],109-111 °C (SUBLIMES)
220,DEOXYCHOLIC ACID,[222528],176-178 °C
221,DEUTERIUM,[24523],-254.43 °C @ 128.5 mm Hg
222,DIACETYL,[650],-1.2 °C
223,DIACETYL PEROXIDE,[8040],30 °C
224,DIAMMONIUM HYDROGEN PHOSPHATE,[24540],155 °C with decomposition
225,DIAMYL PHTHALATE,[8561],FP: less than -55 °C
226,n-Butyl acrylate,[8846],-64.6 °C
227,DIBUTYL ETHER,[8909],-95.2 °C
228,BRUCINE,[442021],178 °C
229,DIBUTYL SEBACATE,[7986],-10 °C
230,DIBUTYLAMINE,[8148],-60 to -59 °C
231,Dicamba,[3030],114.9 °C
232,DICHLOBENIL,[3031],144-145 °C
233,DICHLONE,[8342],195 °C
234,Bromoacetone,[11715],-36.5 °C
235,Dichlorodiphenylsilane,[6627],-22 °C
236,DICHLOROETHYLALUMINUM,[11237],31 °C
237,Dichlorvos,[3039],Less than -60 °C
238,Dicumyl peroxide,[6641],40 °C
239,DICYCLOPENTADIENE,[6492],32.9 °C
240,DIELDRIN,"[3048, 60963, 222547, 969491, 6478437, 12358489, 101820673, 134687882]",175.5 °C
241,BORON TRIFLUORIDE,[6356],-126.8 °C
242,BORON TRICHLORIDE,[25135],-107.3 °C
243,BORON TRIBROMIDE,[25134],-46 °C
244,BORAX,[16211214],75 °C (decomposes)
245,DIETHYLAMINOETHANOL,[7497],FREEZING POINT: -70 °C
246,BISPHENOL A DIGLYCIDYL ETHER,[2286],8-12 °C
247,DIETHYLENE GLYCOL MONO-N-BUTYL ETHER,[8177],-68.1 °C
248,DIETHYLENE GLYCOL MONOBUTYL ETHER ACETATE,[31288],-32 °C
249,BIS(2-CHLOROETHYL)SULFIDE,[10461],13-14 °C
250,DIISOPROPANOLAMINE,[8086],32-42 °C
251,BIS(2-ETHYLHEXYL) PHTHALATE,[8343],-55 °C
252,CAPTAFOL,[17038],160-161 °C; decomposes slowly at melting point
253,BIS(2-ETHYLHEXYL) PHOSPHATE,[9275],-50 °C
254,BIS(2-ETHYLHEXYL) ADIPATE,[7641],-67.8 °C
255,DIISOBUTYL ADIPATE,[8831],-20 °C
256,BIOTIN,[171548],232 °C (decomposes)
257,BERYLLIUM SULFATE,[26077],1127 °C
258,BERYLLIUM PHOSPHATE,[26127],"White solid. MP: 100 °C (loses water)  (decomposes). Soluble in water, acetic acid. /Beryllium phosphate trihydrate/"
259,DIISOPROPYL PEROXYDICARBONATE,[7769],8-10 °C
260,BERYLLIUM HYDROXIDE,[518753],Approximately 200 °C (alpha); decomposes at 138 °C (beta)
261,DILAUROYL PEROXIDE,[7773],49 °C
262,DILAURYL THIODIPROPIONATE,[31250],40 °C
263,DIMETHYL ETHER,[8254],-141.5 °C
264,BERYLLIUM FLUORIDE,[24589],True MP: 555 °C; becomes free-flowing at about 800 °C
265,Dimethyl sulfide,[1068],-98.24 °C
266,BERYLLIUM CHLORIDE,[24588],415 °C
267,DIMETHYL TETRACHLOROTEREPHTHALATE,[2943],155-156 °C
268,BENZYL CINNAMATE,"[7652, 5273469, 15558051]",39 °C
269,DIMETHYLARSENIC ACID,[2513],195 °C
270,Dimethyldichlorosilane,[6398],-16 °C
271,DIMETHYLMAGNESIUM,[18141],Stable to 240 °C
272,DI-N-OCTYL ADIPATE,[31271],7.49 °C (280.65 K)
273,DIPHENAMID,[13728],134.5 TO 135.5 °C
274,BENZYL CHLORIDE,[7503],-39.4 °C
275,BENZYL BROMIDE,[7498],-1.5 °C
276,DIPHENYL-2-ETHYLHEXYL PHOSPHATE,[14716],-30 °C
277,DIPHOSGENE,[10426],-57 °C
278,Dibenzoyl peroxide,[7187],104.5 °C
279,DISODIUM DIHYDROGEN HYPOPHOSPHATE,[24535],250 °C
280,DISODIUM HYDROGEN PHOSPHATE,[24203],MP: loses H2O at 92.5 °C; Specific gravity: 2.066 at 15 °C /Disodium phosphate dihydrate/
281,SODIUM METABISULFITE,[656671],>302 °F (decomposes)
282,DISULFOTON,[3118],-25 °C
283,Diuron,[3120],158-159 °C
284,Benzoyl chloride,[7412],-0.5 °C
285,BENZOIN,[8400],MP:133-4 °C /D & L FORMS/
286,BENZALDEHYDE,[240],-57.12 °C
287,CHLORPYRIFOS,[2730],41-42 °C
288,ENDOSULFAN,[3224],106 °C (pure)
289,ENDOTHALL,[3225],Converted to anhydride at 90 °C
290,Bensulide,[12932],38.4 °C
291,ERGOSTEROL,[444679],170 °C
292,Barium peroxide,[14773],450 °C
293,Barium permanganate,[24587],200 °C (decomposes)
294,ETHION,[3286],-12 to -13 °C
295,ETHOXYQUIN,[3293],Approximately 0 °C
296,Barium nitrate,[24798],590 °C
297,ETHYL ACETOACETATE,[8868],-45 °C
298,ETHYL ANTHRANILATE,[6877],13 °C
299,BARIUM CHLORATE,[26059],414 °C
300,ETHYL N-BUTYRATE,[7762],-97 °C
301,BENFLURALIN,[2319],65-66.5 °C
302,ETHYL CHLOROACETATE,[7751],-26 °C
303,ETHYL CHLOROFORMATE,[10928],-80.6 °C
304,AZINPHOS ETHYL,[17531],53 °C
305,ETHYL LACTATE,[7344],-26 °C
